"SKU","CostoProm","UltimoCosto","CostoMercadoLibre"
"BH-6942","0","11106","11106"
"BH-6384","0","11106","11106"
"20191277-BK","0","76477","76477"
"2020191300-GL","0","3270","3270"
"TH-129E","0","35120","35120"
"TH-130","12767","12767","12767"
"TH-138i","0","19153","19153"
"TH-141DI","0","23624","23624"
"TH-CH40","0","31926","31926"
"TH-CH42","0","0","0"
"TH-FH30","0","19153","19153"
"TH-FH31","0","25540","25540"
"SG-1100","0","13859","13859"
"SG-5120D4","0","16380","16380"
"SG-5010","0","0","0"
"SG-5011","35918","35918","35918"
"SG-5120D5","16380","16380","16380"
"SG-5121D4","0","26464","26464"
"SG-5151","0","50414","50414"
"SG-5121D5","0","26464","26464"
"24102024-BG","0","15426","15426"
"24102024-CR","0","15426","15426"
"24102024-MZ","0","15426","15426"
"24102024-PR","0","15426","15426"
"23102024-BL","0","11863","11863"
"23102024-GY","0","11863","11863"
"20201038-BG","10333","10333","10333"
"20201038-BR","0","6172","6172"
"20201038-GR","0","10333","10333"
"20201038-PI","0","0","0"
"20191281-GY","0","13001","13001"
"20191274-BL","0","12876","12876"
"20191274-WH","0","14452","14452"
"20191274-WHA","0","16028","16028"
"10101074-GY","0","8223","8223"
"25102024-BKGY","0","4738","4738"
"25102024-BKRE","0","4738","4738"
"26102024-BKGY","0","5926","5926"
"26102024-BKRE","0","5926","5926"
"2022033008-BLP","0","6437","6437"
"2022033008-BLS","0","6437","6437"
"2022033008-BRS","0","6437","6437"
"2022033008-REP","0","6437","6437"
"2022033008-RES","0","6437","6437"
"2022033007-GY","0","5059","5059"
"2022033006-PU","0","3727","3727"
"2022033010-BR","0","4207","4207"
"2022033009-BR","0","3142","3142"
"20200504-BL","22205","22205","22205"
"20201017-BK","10794","10794","10794"
"20191212-BL","0","1110","1110"
"20191212-SI","0","1110","1110"
"2023111009-BG","0","40068","40068"
"20668-MAT","0","1812","1812"
"24288-MAT2","0","18176","18176"
"24288-MAT1","0","18176","18176"
"31122024","0","14000","14000"
"20191285-SI","0","2295","2295"
"SG-6100","0","0","0"
"2020191310-BK","0","2441","2441"
"2020191310-SA","0","2441","2441"
"2020191310-GY","0","2441","2441"
"2020191310-RE","0","2441","2441"
"2020191310-WH","0","2441","2441"
"MT-1997","0","1000","1000"
"CH-1129","0","1890","1890"
"CH-1134","0","5200","5200"
"CH-170","3400","3400","3400"
"CH-1143","0","7650","7650"
"174773752005","0","16700","16700"
"103462307812","19990","19990","19990"
"1034463307821","24990","24990","24990"
"103472307833","0","16550","16550"
"103472307834","0","16550","16550"
"109533342703","0","11960","11960"
"109534342706","0","15127","15127"
"109534342705","0","15127","15127"
"109535342709","0","16535","16535"
"109535342707","0","16535","16535"
"77549093413426","1850","1850","1850"
"77549090557033","1850","1850","1850"
"77549087671257","0","1850","1850"
"115083383801","15100","15100","15100"
"115083383804","15100","15100","15100"
"115083383807","15100","15100","15100"
"113021365402","11906","11906","11906"
"115452383920","0","17550","17550"
"115453383921","0","18820","18820"
"112312361602","15652","15652","15652"
"114691380410","0","8400","8400"
"112219359334","0","5631","5631"
"112217359329","0","7420","7420"
"112217359326","0","7420","7420"
"112216359337","0","6038","6038"
"112216359335","0","6038","6038"
"112216359331","0","6038","6038"
"110231346405","4860","4860","4860"
"196220279314","0","4890","4890"
"196219279312","0","7800","7800"
"196213279301","0","4890","4890"
"103823305037","10000","10000","10000"
"198487281403","0","10000","10000"
"198487281404","10000","10000","10000"
"196769278811","0","12000","12000"
"109533342702","11960","11960","11960"
"109533342701","0","12026","12026"
"109534342704","0","15390","15390"
"112586363814","0","16901","16901"
"113024365408","0","11906","11906"
"113025365409","13077","13077","13077"
"112854365713","8766","8766","8766"
"112855365714","0","10015","10015"
"112856365715","0","11090","11090"
"112355361718","0","9532","9532"
"112355361722","0","9532","9532"
"112351361710","0","9532","9532"
"112351361714","0","9532","9532"
"112356361719","0","11581","11581"
"112356361723","0","11561","11561"
"112352361711","0","11561","11561"
"112357361720","0","13186","13186"
"112353361716","0","13186","13186"
"112369361783","0","18442","18442"
"112369361791","18442","18442","18442"
"112369361787","0","18442","18442"
"112213359306","0","5712","5712"
"112213359314","0","5712","5712"
"112214359315","0","7101","7101"
"7806427756826","0","20000","20000"
"7806427756949","0","29000","29000"
"780642775700-7","0","0","0"
"780642775703-8","0","0","0"
"780642775701-4","0","0","0"
"780642775704-5","0","0","0"
"780642775702-1","0","0","0"
"7806427757007","0","32347","32347"
"7806427757014","0","35288","35288"
"7806427757021","0","38229","38229"
"66845494149698","2101","2101","2101"
"201912116-BL","0","383","383"
"201912116-AZ","0","383","383"
"201912116-PI","0","383","383"
"201912116-RE","0","383","383"
"PLECAR110P15A","0","23941","23941"
"PLECAR000P15W","0","23941","23941"
