SKU,CostoProm,UltimoCosto,CostoMercadoLibre
2023021901-PU,14000,14000,14000
MAPASAI18,15631,15631,15631
20201049-WH,10509,10509,10509
2023021901-PI,14000,14000,14000
2022061509-MC,9984,9984,9984
20191282-BR,4156,4156,4156
824867,15831,15831,15831
20191282-GY,4156,4156,4156
